geoid,zip,population,median_income
86000US28537,28537,146,0
86000US28538,28538,1961,24125
86000US28539,28539,15623,37250
86000US28540,28540,48775,52782
86000US28543,28543,5153,49970
86000US28544,28544,6692,36164
86000US28546,28546,46338,39696
86000US28547,28547,25420,46758
86000US28551,28551,15104,47662
86000US28552,28552,146,37293
86000US28553,28553,326,0
86000US28554,28554,168,115114
86000US28555,28555,4767,0
86000US28556,28556,1019,47527
86000US28557,28557,15204,41961
86000US28560,28560,27590,54528
86000US28562,28562,38598,46133
86000US28570,28570,21590,57592
86000US28571,28571,2769,51569
86000US28572,28572,7477,53902
86000US28573,28573,2053,43443
86000US28574,28574,18116,44083
86000US28575,28575,484,49267
86000US28577,28577,388,73214
86000US28578,28578,6858,61607
86000US28579,28579,554,44288
86000US28580,28580,12874,46964
86000US28581,28581,285,37156
86000US28582,28582,2734,67992
86000US28583,28583,279,74738
86000US28584,28584,12265,60625
86000US28585,28585,3674,59102
86000US28586,28586,7259,31600
86000US28587,28587,353,35500
86000US28589,28589,182,26859
86000US28590,28590,24613,65227
86000US28594,28594,3697,65594
86000US28601,28601,51706,70870
86000US28602,28602,29105,50821
86000US28604,28604,7635,47493
86000US28605,28605,3428,51280
86000US28606,28606,1689,60172
86000US28607,28607,35523,31308
86000US28609,28609,5788,41143
86000US28610,28610,10120,59495
86000US28611,28611,1162,55997
86000US28612,28612,12338,61810
86000US28613,28613,22233,37813
86000US28615,28615,1767,54585
86000US28616,28616,252,32619
86000US28617,28617,2323,85625
86000US28618,28618,2581,34691
86000US28619,28619,1537,55529
86000US28621,28621,10499,40000
86000US28622,28622,2109,47034
86000US28623,28623,1464,27798
86000US28624,28624,1339,43145
86000US28625,28625,39518,32432
86000US28626,28626,2474,50216
86000US28627,28627,970,65125
86000US28628,28628,494,53368
86000US28629,28629,0,40455
86000US28630,28630,20007,0
86000US28631,28631,818,50190
86000US28634,28634,5230,37581
86000US28635,28635,3162,46447
86000US28636,28636,5013,29599
86000US28637,28637,1734,43810
86000US28638,28638,11698,40880
86000US28640,28640,4759,41701
86000US28642,28642,5890,35433
86000US28643,28643,3521,38750
86000US28644,28644,1117,41667
86000US28645,28645,46604,33750
86000US28646,28646,308,38697
86000US28647,28647,71,63390
86000US28649,28649,994,0
86000US28650,28650,11106,60754
86000US28651,28651,7419,50092
86000US28652,28652,0,35919
86000US28654,28654,3100,0
86000US28655,28655,54594,45081
86000US28657,28657,8701,43435
86000US28658,28658,27479,35963
86000US28659,28659,21229,46977
86000US28660,28660,1878,33832
